名前,タグ,書類制作日付
フォームからのスパムメール,"HP, WP, エラー",2023年5月29日 18:16
家族信託 文章見本BOOKマーク,work notes,2023年5月29日 19:12
EA資金状態,"EA, FX",2023年6月5日 0:38
スタート前にやること,"HP, WP",2023年6月7日 17:56
超特化ブログジャンルの選び方：激戦を選ぶ,学び,2023年6月9日 17:13
超特化ブログ記事の書き方,学び,2023年6月9日 17:20
超特化ブログサイト設計,学び,2023年6月9日 17:33
超特化ブログペルソナ設定,学び,2023年6月9日 17:42
ChatGTP  ウィジットエラーの対応 memo,,2023年7月14日 18:46
PINT HP Facebookの修正で、高さ調整できない,,2023年7月15日 19:13
WpテーマASTRA,,2023年7月22日 16:56
HP新テーマ導入時のPINTさん要望,,2023年7月26日 16:02
改善事例 スクール案内リンク修正 差し替え内容,,2023年7月26日 17:09
GTPによる ブランド構築 案（CHatGTP）,"work notes, アイデア",2023年7月27日 16:44
発信しない内容を決めるために→自分がどんな人間として発信したいか？,"work notes, アイデア",2023年8月1日 11:49
ブランド構築のためのSNS発信の考え方　案,"work notes, アイデア",2023年8月18日 10:26
販売審査 入力内容,,2023年8月25日 17:56
【中止！】EA手法を確立していき、誰でも成果がでるようにする,,2023年8月26日 10:25
瞑想が上手くいかない時のワーク,,2023年8月26日 11:18
物語のネタ帳,,2023年8月31日 23:44
講座で教えていけないリスト,,2023年9月3日 11:18
サーバー移動,"HP, WP, work notes",2023年9月11日 15:04
中国ニュース追加の準備・注意すること,YouTube,2023年9月12日 14:45
健康の豆知識　タイトル案,,2023年9月16日 13:19
健康豆知識,YouTube,2023年9月16日 13:25
2023年9月16日　リニューアル挨拶,,2023年9月16日 13:51
問題点,,2023年9月18日 18:36
キャッチコピー,アイデア,2023年9月18日 19:14
ワンクリックでChatGPTの会話を保存・管理できるChrome拡張機能,Book Mark,2023年9月20日 13:05
SNSはFacebookもやるべきか？今のとこヤメ,,2023年10月6日 10:52
Instaで投稿してみて思ったこと,,2023年10月6日 10:57
Insta内で見て欲しい人と、見て欲しくない人を決める,,2023年10月6日 11:13
SNSをどこで発信するか決める,"work notes, アイデア",2023年10月10日 12:00
何を投稿していくかのコンセプト・ルール,"work notes, アイデア",2023年10月21日 11:15
プロンプト-memo　自己紹介,,2023年10月28日 17:01
全体の集客の流れ,,2023年11月12日 16:55
誰に対して発信するか？,"work notes, アイデア",2023年11月17日 11:38
新しい時代の価値観が望むビジネスとは？,,2023年11月17日 11:47
自分がどうしたら最高に楽しいか？,"work notes, アイデア",2023年11月21日 11:54
MGCへのプレゼン資料,アイデア,2023年11月21日 12:03
コンセプト・ルール アイデア メモ,"work notes, アイデア",2023年11月22日 13:22
問題解決 or 条件追加,"work notes, アイデア",2023年11月24日 11:25
韓国・中国外の新規ニュースについて,"YouTube, アイデア",2023年11月28日 1:28
自分のブランディング全般について,アイデア,2023年11月28日 12:04
韓国・中国外の新規ニュースについて,"YouTube, アイデア",2023年12月1日 17:40
ChatGTPが作ったGMMA手法,"FX, work notes, アイデア, テスト",2023年12月3日 0:09
PINTのツイッター設置コード,,2023年12月13日 14:08
ハイトレFX億トレ式で成功するために,"FX, アイデア, ハイトレFX億トレ式",2023年12月24日 11:08
健康動画 / 考え方、コンセプト,"work notes, アイデア",2023年12月26日 12:05
こずにもらう動画アンケートとは？,work notes,2023年12月26日 12:09
2024年度 - FX Master Plan,"FX, アイデア, ハイトレFX億トレ式",2024年1月3日 15:06
papperの手法の原理を分析,"work notes, ハイトレFX億トレ式",2024年1月5日 12:11
コズ健康情報 - スケジュール,work notes,2024年1月9日 12:01
コズ健康情報 - スケジュール - 決める,work notes,2024年1月9日 16:04
ハイトレFX億トレ式 - マスター計画,ハイトレFX億トレ式,2024年1月9日 17:46
アンケート動画のプロンプト,"work notes, アイデア",2024年1月10日 18:02
アンケート動画で、AIが考えた台本,work notes,2024年1月10日 19:07
アンケート動画の内容の項目を考える,"work notes, アイデア",2024年1月11日 16:30
自分の可愛げのあるウイークポイント,"work notes, アイデア",2024年1月17日 23:22
アンケート動画のアンケート内容を考える,"work notes, アイデア",2024年1月24日 16:28
動画を作り始める,"work notes, アイデア",2024年1月27日 17:08
自分の波動を把握し、幸せになる波動に調整する,work notes,2024年2月3日 9:35
2024年これからの時代の仕事アンケート,"アイデア, テスト",2024年2月6日 1:35
未来の地球はオタクだらけ,"work notes, アイデア",2024年2月10日 19:15
名前、コンセプト作りプロンプト-3,"アイデア, プロンプト",2024年2月11日 19:43
SUNNYSH site / concept,"HP, work notes, アイデア",2024年2月13日 12:30
健康動画 / カテゴリー,"work notes, アイデア",2024年2月14日 11:16
サイト名,"HP, work notes, アイデア",2024年2月20日 18:27
健康サイトスケジュール,,2024年2月24日 12:58
洗脳から抜け出す動画　【プロンプト】,プロンプト,2024年3月1日 12:10
アジア経済NEWSのAIエージェント化,プロンプト,2024年3月4日 17:56
名前、コンセプト作りプロンプト-1,"アイデア, プロンプト",2024年3月9日 11:17
名前、コンセプト作りプロンプト-2,"アイデア, プロンプト",2024年4月9日 12:17
占い説明動画メモ　伝えたいこと,"VIdeo, アイデア, コンテンツネタ, プロンプト",2024年4月16日 11:39
占いの注意点,アイデア,2024年4月16日 18:22
公式LINEの機能と提案したLINE集客,,2024年4月21日 20:03
占い講座に入れる内容　アイデア,"アイデア, コンテンツネタ",2024年4月23日 11:41
アインシュタインの考える神、娘に宛てた手紙,,2024年5月5日 12:36
そらのAIによる治療説明,"HP, アイデア, 修正",2024年5月20日 17:47
集客プラン①　詳細,"HP, WP, 修正",2024年5月21日 16:37
カードの内容,"work notes, コンテンツネタ",2024年5月22日 17:41
なるほどさん。名前はずし,,2024年6月2日 16:53
自分の夢（共感を得るオープンな夢）,"アイデア, コンテンツネタ, 情報",2024年6月7日 16:16
【物語】次回動画修正,"VIdeo, work notes, アイデア, 情報",2024年6月11日 14:43
占い講座説明VIDEO　アイデア,"VIdeo, work notes, アイデア, 情報",2024年6月12日 15:49
占い講座説明　AIのアドバイス,"VIdeo, work notes, アイデア, 情報",2024年6月12日 16:27
占い動画 入れたい内容,"VIdeo, work notes, アイデア, 情報",2024年6月12日 17:00
しくじり先生の流れ　23年07月20日,"VIdeo, work notes, アイデア, 情報",2024年6月13日 15:36
占いで大切なこと,,2024年6月13日 18:13
動画をもっと面白く！自分の言いたいことを入れる,"VIdeo, work notes, アイデア, 情報",2024年6月15日 17:30
ジョセフ・キャンベルの「ヒーローの冒険」で生成した自分物語,"VIdeo, work notes, アイデア, 情報",2024年6月17日 18:09
【修正-1】ジョセフ・キャンベルの「ヒーローの冒険」で生成した自分物語　$,"VIdeo, work notes, アイデア, 情報",2024年6月18日 0:45
集客の流れ,"work notes, アイデア, 戦略",2024年6月18日 14:55
