タイトル,プロパティ," 1",ファイル
,時刻,作業内容,
,6:45,,
,7:00,トレーニング、歯磨き、瞑想、アメプレス稼働、鏡アファメーション、メモ,
,8:00,どうして２０日までに集客できるか考える→モチベーションアップ,
,9:00,リコー振替予約、川本さん打ち合わせ資料,
,10:00,コーチコンサルのコンセプト決める,
,11:30,メモを再考、鏡アファメーション、モチベーションの支点を確認→決める,
,12:00,,
,13:00,ひー実家→古賀さん新聞,
,14:00,今日の分のブログ作る→アップ,
,15:00,ブログヘッダー考える,
,16:00,コーチコンサルの商材とメルマガの概要を決めるカードの背景を考える,
,17:00,心歩塾の塾生がちゃんとMAとHPを導入して成功する道筋を作る,
,18:00,川本さん打ち合わせ資料、川本さん２０２０年２億にする計画,
,19:00,川本さん打ち合わせ,
,20:00,川本さん最後の動画、食事,
,21:00,,
,22:00,ブログのネタを作る,
,23:00,ベトナム関連見る、名古屋の引越し先見る,
,24:00,成功映像などを見る,
,1:00,,
