name,slug,description,parent_slug
その他ホワイトボード,white-other,その他のホワイトボード,whiteb
アルミKYボード,ky-alumi,アルミ製KYボード,ky
スチール,menu-steel,店舗向け・スチール,menu
スチールホワイト黒板,steel-white,スチールホワイト黒板,board
スチール黒板（屋内）,steel-indoor,屋内用のスチール黒板,board
ビニールKYボード,ky-vinyl,ビニール製KYボード,ky
ホワイト,menu-white,店舗向け・ホワイト,menu
マーカーボード（黒）,marker-black,マーカーボード（黒）,board
出入り・誘導,acs-guide,入口・出口・矢印・自転車置き場など,acs
危険予知活動表,kiken,,whiteb
安全・立入禁止,acs-safety,立入禁止・安全第一・歩行者通路など,acs
安全掲示板,anzen,,whiteb
工事・作業・危険,acs-work,工事中・測量・高所作業など,acs
工程表,koutei,,whiteb
店舗・施設案内,acs-shop,お客様P・お願い・ご迷惑など,acs
月予定表,month,,whiteb
木製,menu-wood,店舗向け・木製,menu
木製黒板（屋内）,wood-indoor,屋内用の木製黒板,board
法令掲示板（付属品）,hourei,法令掲示板の付属品,whiteb
無地,wmuji,,whiteb
無地,muji,,tg
白マーカーボード,marker-white,白マーカーボード,board
管理用ボード,kanri,,whiteb
耐水スチール,menu-steel-outdoor,店舗向け・耐水スチール,menu
耐水スチール黒板（屋外）,steel-outdoor,屋外・耐水のスチール黒板,board
耐水木製,menu-wood-outdoor,店舗向け・耐水木製,menu
耐水木製黒板（屋外）,wood-outdoor,屋外・耐水の木製黒板,board
行先予定表,ikisaki,,whiteb
道路・案内,acs-road,段差あり・まわり道・この先など,acs
駐車・構内,acs-parking,駐車禁止・駐輪禁止・速度厳守など,acs
黒板・ボード,board,木製・スチール・耐水・マーカーなど,item
ホワイトボード・掲示板・ビジネスボード,whiteb,,item
商品,item,,
暗線入り,linewood,,wood
暗線入り,sga,,steal
未分類,%e6%9c%aa%e5%88%86%e9%a1%9e,,itemreco
高輝度プリズム反射,prizm,,acs
掲示板,keiji,,item
新商品,itemnew,,
普通反射,hansya,,acs
無反射,muhan,,acs
耐水黒板,tg,,item
カラーコーン看板,acs,,item
スチール黒板,steal,,item
木製黒板,wood,,item
店舗向け,menu,,item
KYボード,ky,,item
オススメ商品,itemreco,,item
