名前,テキスト,重要度,URL,Category,タグ
https://www.youtube.com/@kensho-san｜裁量なし勝率60％リスクリワード1:2,,,https://www.youtube.com/watch?v=G1RVY-M6HAY,work notes,
https://www.youtube.com/@kensho-san｜裁量なし低勝率、高リスクリワード、再現率高そうなガチガチ手法,,,https://www.youtube.com/watch?v=6T5N___n7m4&t=1s,work notes,
https://www.youtube.com/@kensho-san｜スキャル,,,https://www.youtube.com/watch?v=ShSKHlv-jYg,work notes,
ファンダ手法,,★★★,,work notes,"FX, アイデア, テスト, 学び, 戦略"
NotebookLMで手法、EA作成,,,https://www.youtube.com/watch?v=xIybuxtljiw,work notes,"AI, Book Mark, EA, FX, YouTube, アイデア"
機関投資家の動きをインジが教える,Smart Money Concepts,,https://www.youtube.com/watch?v=ytAjdU9qHHE,work notes,
2波の2波とMA2本,ヒデのMAを足した版、MAをもっと理解すると良さそう。出来高たせるかな？,,https://www.youtube.com/watch?v=iew1abJLfH8,work notes,
AIトレンドインジケーター手法,,,https://www.youtube.com/watch?v=rt8NvVRpDR8,work notes,FX
覇王色のカモ、OBV手法,出来高を中心とした手法,,https://www.youtube.com/watch?v=VVZ_SvLi9jA,work notes,
EMA+出来高インジ,2025年注目の「トレンド」と「出来高」を同時に読み解き、レンジ相場を見極めながら、確実に利益を積み上げるための実践戦略を,,https://www.youtube.com/watch?v=JDMmFgsraF8,work notes,
"【出来高チャート手法】知らないとマジで後悔する大口投資家の参入を見抜く方法 ",,,https://www.youtube.com/watch?v=AYDU53cJxWk,work notes,
WMAの GMMAの手法,,,https://www.youtube.com/watch?v=Ed_kTi9UcQ8,work notes,
機関投資家をハックしろ！！-市場構造と流動性を学ぶ-,市場のイクイリティーから分析し、機関投資家をハック,,https://www.youtube.com/watch?v=7QcBgJ28sag,work notes,FX
大口をカモに！大口の損切りを利益に！,,,https://www.youtube.com/watch?v=FtX74_8HTL0,work notes,"FX, YouTube"
出来高により、大口の動きを予測する,大口投資家の仕込みや狙いをわかりやすく、出来高,★★★,https://www.youtube.com/watch?v=setcMMGK9SE,work notes,"FX, YouTube, 情報"
おバカな妹｜水島翔さんの手法,おバカな妹にFX教えてみた｜水島翔さんの手法,★★,https://www.youtube.com/watch?v=-jkqelF8Bpc,work notes,FX
AMG、スイープ手法　検証で大発見、7ペア検証,正太郎,★★★,https://www.youtube.com/watch?v=5-Cmv135kzc,work notes,"FX, テスト, 学び"
AMG、スイープ手法を徹底解説！,正太郎のAMG手法の手法解説,★★★,https://www.youtube.com/watch?v=kglS8QIQsjM,work notes,"FX, テスト, 学び"
トレンドライントレード,良さげ、やってみるよ良さそう。他の動画も見た方がよさそう。,★★★,https://www.youtube.com/watch?v=4UHCquAQV7E,work notes,FX
AMG手法、1日1時間、ニューヨクTにトレード,シンプル、アジアTにレンジ、イギリスTに反転、NYTにトレード,★★★,https://www.youtube.com/watch?v=_g11Z6_Ee50,Knowledge Base,FX
AMG手法、シンプル手法の勝率＆月利を公開,シグマさん　シンプル手法の勝率＆月利を公開,★★★,https://www.youtube.com/watch?v=e_me7vefh_4,Knowledge Base,FX
エリオット波動【濃い】,,,https://www.youtube.com/watch?v=P_F69YFGNhs,Knowledge Base,FX
マルチタイム移動平均線、自分のやりかたに近い,これをやってみる。良さそうで、本物っぽい人,,https://www.youtube.com/watch?v=c3XTwBw0sv4,Knowledge Base,FX
簡単手法で勝率アップ,MA+ダウ理論+マルチタイムフレーム分析,,https://www.youtube.com/watch?v=uK4UIZia5aY,Knowledge Base,FX
従来ダウ理論古い。新しいダウ理論。大口の動きを理解し反転予測。AI相場,流動性、出来高から、大口AIが、ロスカットを巻き込んで反転を狙う準備を見越した反転予測,★★★,https://www.youtube.com/watch?v=oEOlbtz96Q4,Knowledge Base,"FX, 情報"
トレード日記からの弱点克服,,★★★,,work notes,"FX, 学び, 気付き"
FXで勝とうとしないで儲かる方法,,★★★,,Knowledge Base,"FX, 気付き"
通常トレード手法 + 鉄板手法,,,,Knowledge Base,FX
GMMA　短期なし　長期+200MA,,,https://www.youtube.com/shorts/nbd-wMiAGu8,Knowledge Base,FX
ニンジン エントリータイミング学習動画,3種類のパターンでエントリーを待つ,,https://www.youtube.com/watch?v=dybUOQDU1FE,Knowledge Base,"YouTube, コンテンツネタ, 学び, 情報"
勉強になりそうなYoutubeチャンネル,,★★★,,Knowledge Base,
ゴールデンクロス、デッドクロスをチャートパターンの騙しを利用する高確率な方法,,,https://www.youtube.com/watch?v=f6Jj5-t6f8E,Knowledge Base,
カボチャFX専業トレーダーもBOX手法を完成させる,,,https://www.youtube.com/watch?v=K_0oqtBWMBU,Knowledge Base,
GMMA研究所の動画を見る,,,https://www.youtube.com/watch?v=vCbKKII-eTM&list=PL9MrgIgFu25xQZlAhkkBC02k-Lguf3G8k,Knowledge Base,
手法構築スケジュール,,,,work notes,
どうしたらFXの手法作りが楽しくなるか？,,,,work notes,
トレードルール案,,,,work notes,"FX, 戦略"
検証さん,,,,work notes,"FX, work notes, テスト, 学び"
海外のFX手法検証委員会(パックンち)の検証,,,,work notes,
変態トレーダーお父さんキヨサキ　複数の手法検証,,,,work notes,
ハイトレFX億トレ式 - マスター計画,ハイトレ構築 / 何をしていくか,,,work notes,ハイトレFX億トレ式
papperの手法の原理を分析,,,,work notes,"work notes, ハイトレFX億トレ式"
2024年度 - FX Master Plan,2024年の計画 / 月ごと,,,work notes,"FX, アイデア, ハイトレFX億トレ式"
